record_no,snapshot_index,snapshot_time,source_file,vector_index,target_id,callsign,timestamp,timestamp_source,lat,lon,altitude,alt_type,speed,heading,vertical_rate,on_ground,required_ok,parse_errors
42,2,1786673160,opensky_central_europe_snapshot_02.json,19,4d253b,EWG40C,1786673159,position_time,46.5431,5.7885,11277.6,barometric,225.32,198.23,0.0,false,true,
43,2,1786673160,opensky_central_europe_snapshot_02.json,20,45b534,GAV596,1786673158,position_time,48.7235,9.4611,11582.4,barometric,222.93,302.37,-0.33,false,true,
44,2,1786673160,opensky_central_europe_snapshot_02.json,21,4d240c,EWG53L,1786673159,position_time,49.2407,10.6218,5242.56,barometric,192.03,248.8,9.43,false,true,
45,2,1786673160,opensky_central_europe_snapshot_02.json,22,ad35c8,N950MP,1786673159,position_time,45.9448,11.2937,13716.0,barometric,255.71,118.21,0.0,false,true,
46,2,1786673160,opensky_central_europe_snapshot_02.json,23,3889ff,LA2,1786673159,position_time,45.7172,5.0918,,unknown,7.2,168.75,,true,true,
47,2,1786673160,opensky_central_europe_snapshot_02.json,24,4b17fd,SWR7DC,1786673098,position_time,47.4443,8.5674,,unknown,0.06,244.69,,true,true,
48,3,1786673174,opensky_central_europe_snapshot_03.json,1,a48850,UPS266,1786673173,position_time,48.3537,9.5029,11894.82,barometric,241.82,152.78,0.0,false,true,
49,3,1786673174,opensky_central_europe_snapshot_03.json,2,896175,UAE4M,1786673173,position_time,45.5287,5.104,10972.8,barometric,255.67,110.0,0.0,false,true,
50,3,1786673174,opensky_central_europe_snapshot_03.json,3,3849ff,M02,1786673173,position_time,47.5896,7.5295,,unknown,22.12,334.69,,true,true,
51,3,1786673174,opensky_central_europe_snapshot_03.json,4,407fac,TOM8VC,1786673172,position_time,48.9357,8.9906,11582.4,barometric,228.42,300.9,0.0,false,true,
52,3,1786673174,opensky_central_europe_snapshot_03.json,5,3c815e,F172,1786673173,position_time,48.6862,9.2024,,unknown,5.66,73.12,,true,true,
53,3,1786673174,opensky_central_europe_snapshot_03.json,6,7c8066,QFA219,1786673173,position_time,49.405,11.5747,12184.38,barometric,243.99,293.48,0.0,false,true,
54,3,1786673174,opensky_central_europe_snapshot_03.json,7,45ce47,SRR6382,1786673173,position_time,48.5185,6.298,11887.2,barometric,233.65,181.64,0.0,false,true,
55,3,1786673174,opensky_central_europe_snapshot_03.json,8,3c5434,BCS6GA,1786673173,position_time,45.7287,8.7918,3314.7,barometric,167.29,152.33,-5.85,false,true,
56,3,1786673174,opensky_central_europe_snapshot_03.json,9,4b5d62,VIKTOR21,1786673173,position_time,47.4578,8.5619,,unknown,2.57,275.62,,true,true,
57,3,1786673174,opensky_central_europe_snapshot_03.json,10,4b5d54,GALA6,1786673173,position_time,47.4582,8.5491,,unknown,4.37,278.44,,true,true,
58,3,1786673174,opensky_central_europe_snapshot_03.json,11,4b5d6e,VIKTOR31,1786673163,position_time,47.4409,8.5624,,unknown,2.57,219.38,,true,true,
