target_id,callsign,timestamp,timestamp_source,time_source,message_seq,lat,lon,altitude,alt_type,speed,heading,vertical_rate,on_ground,status_flags,validity_flags,latitude_code,longitude_code,altitude_code,speed_code,heading_code,vertical_rate_code,lat_valid,lon_valid,altitude_valid,speed_valid,heading_valid,vertical_rate_valid,callsign_valid,checksum,expected_checksum,message_valid,validation_errors,source
a48850,UPS266,1786673155,position_time,position_time,1,48.390216443590276,9.474723213845039,11887,barometric,241.8,152.78,0.0,false,0,127,3224725,2207540,12887,2418,15278,32768,true,true,true,true,true,true,true,2594,2594,true,,TeachingLink
896175,UAE4M,1786673154,position_time,position_time,2,45.543512235525185,5.046287786075538,10973,barometric,256.1,109.96000000000001,0.0,false,0,127,3158392,2155945,11973,2561,10996,32768,true,true,true,true,true,true,true,2691,2691,true,,TeachingLink
3849ff,M02,1786673154,position_time,position_time,3,47.58641185436531,7.531773455565798,,unknown,12.3,300.94,,true,1,91,3205995,2184903,0,123,30094,0,true,true,false,true,true,false,true,2292,2292,true,,TeachingLink
407fac,TOM8VC,1786673154,position_time,position_time,4,48.91588662049452,9.040763149443421,11582,barometric,228.4,300.90000000000003,0.0,false,0,127,3236974,2202484,12582,2284,30090,32768,true,true,true,true,true,true,true,2768,2768,true,,TeachingLink
3c815e,F172,1786673142,position_time,position_time,5,48.6853882516356,9.200494098781121,,unknown,1.3,70.31,,true,1,91,3231603,2204345,0,13,7031,0,true,true,false,true,true,false,true,2177,2177,true,,TeachingLink
7c8066,QFA219,1786673154,position_time,position_time,6,49.38851341927369,11.63293639014637,12192,barometric,244.20000000000002,293.59000000000003,0.0,false,0,127,3247987,2232685,13192,2442,29359,32768,true,true,true,true,true,true,true,2625,2625,true,,TeachingLink
45ce47,SRR6382,1786673154,position_time,position_time,7,48.558101310277294,6.299501967311386,11887,barometric,233.10000000000002,181.52,0.0,false,0,127,3228637,2170546,12887,2331,18152,32768,true,true,true,true,true,true,true,2667,2667,true,,TeachingLink
3c5434,BCS6GA,1786673154,position_time,position_time,8,45.75439828739124,8.770739739117545,3429,barometric,180.10000000000002,147.72,-6.829999999999984,false,0,127,3163306,2199338,4429,1801,14772,32085,true,true,true,true,true,true,true,2346,2346,true,,TeachingLink
4b5d62,VIKTOR21,1786673153,position_time,position_time,9,47.45770870630949,8.562600269937576,,unknown,2.8000000000000003,272.81,,true,1,91,3202996,2196913,0,28,27281,0,true,true,false,true,true,false,true,2565,2565,true,,TeachingLink
4b5d54,GALA6,1786673154,position_time,position_time,10,47.45809494449972,8.550240647850188,,unknown,3.6,275.62,,true,1,91,3203005,2196769,0,36,27562,0,true,true,false,true,true,false,true,2205,2205,true,,TeachingLink
4b5d6e,VIKTOR31,1786673139,position_time,position_time,11,47.44088588735721,8.561913624266055,,unknown,2.8000000000000003,22.5,,true,1,91,3202604,2196905,0,28,2250,0,true,true,false,true,true,false,true,2635,2635,true,,TeachingLink
4b5c39,GALA21,1786673149,position_time,position_time,12,47.45800911379078,8.550583970685949,,unknown,4.6000000000000005,278.44,,true,1,91,3203003,2196773,0,46,27844,0,true,true,false,true,true,false,true,2513,2513,true,,TeachingLink
4b5c1b,URSULA8,1786673153,position_time,position_time,13,47.45680748386562,8.562771931355456,,unknown,0.30000000000000004,300.94,,true,1,91,3202975,2196915,0,3,30094,0,true,true,false,true,true,false,true,2415,2415,true,,TeachingLink
48ea3a,ENT1511,1786673155,position_time,position_time,14,47.90681789083908,8.087698957371487,10973,barometric,229.5,225.45000000000002,0.0,false,0,127,3213461,2191380,11973,2295,22545,32768,true,true,true,true,true,true,true,2587,2587,true,,TeachingLink
424cbf,MACOR,1786673154,position_time,position_time,15,46.89907953717221,11.250388920399871,9883,barometric,244.3,222.87,-8.129999999999995,false,0,127,3189979,2228228,10883,2443,22287,31955,true,true,true,true,true,true,true,2628,2628,true,,TeachingLink
a61c53,THY6091,1786673154,position_time,position_time,16,49.38168987791295,10.834367474166726,10363,barometric,243.20000000000002,288.63,0.0,false,0,127,3247828,2223381,11363,2432,28863,32768,true,true,true,true,true,true,true,2826,2826,true,,TeachingLink
8966d5,ETD2,1786673154,position_time,position_time,17,47.892183754964776,7.5862759557428205,11278,barometric,259.3,104.01,0.0,false,0,127,3213120,2185538,12278,2593,10401,32768,true,true,true,true,true,true,true,2388,2388,true,,TeachingLink
4d253b,EWG40C,1786673154,position_time,position_time,18,46.552709711244034,5.793186615273129,11278,barometric,224.70000000000002,200.51,0.0,false,0,127,3181908,2164647,12278,2247,20051,32768,true,true,true,true,true,true,true,2529,2529,true,,TeachingLink
45b534,GAV596,1786673153,position_time,position_time,19,48.71808975174184,9.474036568173517,11582,barometric,222.9,302.37,0.0,false,0,127,3232365,2207532,12582,2229,30237,32768,true,true,true,true,true,true,true,2424,2424,true,,TeachingLink
4d240c,EWG53L,1786673153,position_time,position_time,20,49.24401742077288,10.634725245171836,5189,barometric,186.5,248.81,10.079999999999984,false,0,127,3244620,2221055,6189,1865,24881,33776,true,true,true,true,true,true,true,2662,2662,true,,TeachingLink
ad35c8,N950MP,1786673154,position_time,position_time,21,45.95060728802855,11.278112239387553,13716,barometric,255.5,118.11,0.0,false,0,127,3167878,2228551,14716,2555,11811,32768,true,true,true,true,true,true,true,2539,2539,true,,TeachingLink
3889ff,LA2,1786673155,position_time,position_time,22,45.71740525183802,5.091692231104901,,unknown,5.7,171.56,,true,1,91,3162444,2156474,0,57,17156,0,true,true,false,true,true,false,true,2068,2068,true,,TeachingLink
4b17fd,SWR7DC,1786673098,position_time,position_time,23,47.44431911571482,8.567406789638227,,unknown,0.30000000000000004,244.69,,true,1,91,3202684,2196969,0,3,24469,0,true,true,false,true,true,false,true,2695,2695,true,,TeachingLink
a48850,UPS266,1786673159,position_time,position_time,24,48.381118388442616,9.481761331978134,11887,barometric,241.8,152.78,0.0,false,0,127,3224513,2207622,12887,2418,15278,32768,true,true,true,true,true,true,true,2746,2746,true,,TeachingLink
896175,UAE4M,1786673159,position_time,position_time,25,45.539606938268406,5.061565652266893,10973,barometric,255.70000000000002,110.0,0.0,false,0,127,3158301,2156123,11973,2557,11000,32768,true,true,true,true,true,true,true,2806,2806,true,,TeachingLink
3849ff,M02,1786673159,position_time,position_time,26,47.58709850003683,7.5311726406032165,,unknown,18.5,334.69,,true,1,91,3206011,2184896,0,185,33469,0,true,true,false,true,true,false,true,2451,2451,true,,TeachingLink
407fac,TOM8VC,1786673158,position_time,position_time,27,48.92069314019517,9.028575188773914,11582,barometric,228.4,300.90000000000003,0.0,false,0,127,3237086,2202342,12582,2284,30090,32768,true,true,true,true,true,true,true,3020,3020,true,,TeachingLink
3c815e,F172,1786673142,position_time,position_time,28,48.6853882516356,9.200494098781121,,unknown,1.3,70.31,,true,1,91,3231603,2204345,0,13,7031,0,true,true,false,true,true,false,true,2200,2200,true,,TeachingLink
7c8066,QFA219,1786673159,position_time,position_time,29,49.39289078542964,11.617229370410314,12184,barometric,244.20000000000002,293.59000000000003,0.0,false,0,127,3248089,2232502,13184,2442,29359,32768,true,true,true,true,true,true,true,2819,2819,true,,TeachingLink
