record_no,snapshot_index,target_id,field,source_value,source_valid,protocol_code,decoded_value,decoded_valid,absolute_error,tolerance,quantization_units,passed
8,1,3c5434,heading,147.72,true,14772,147.72,true,0.0,0.01,0.0,true
8,1,3c5434,vertical_rate,-6.83,true,32085,-6.829999999999984,true,1.5987211554602254e-14,0.01,1.5987211554602254e-12,true
8,1,3c5434,callsign,BCS6GA,true,BCS6GA,BCS6GA,true,,exact,,true
9,1,4b5d62,lat,47.4577,true,3202996,47.45770870630949,true,8.706309486683494e-06,4.2915354470099084e-05,0.20287166666069467,true
9,1,4b5d62,lon,8.5626,true,2196913,8.562600269937576,true,2.699375762915679e-07,8.583070894019817e-05,0.0031449999612568114,true
9,1,4b5d62,altitude,,false,0,,false,,,,true
9,1,4b5d62,speed,2.83,true,28,2.8000000000000003,true,0.029999999999999805,0.1,0.29999999999999805,true
9,1,4b5d62,heading,272.81,true,27281,272.81,true,0.0,0.01,0.0,true
9,1,4b5d62,vertical_rate,,false,0,,false,,,,true
9,1,4b5d62,callsign,VIKTOR21,true,VIKTOR21,VIKTOR21,true,,exact,,true
10,1,4b5d54,lat,47.4581,true,3203005,47.45809494449972,true,5.055500281514469e-06,4.2915354470099084e-05,0.11780166665142768,true
10,1,4b5d54,lon,8.5502,true,2196769,8.550240647850188,true,4.064785018798034e-05,8.583070894019817e-05,0.47358166663054585,true
10,1,4b5d54,altitude,,false,0,,false,,,,true
10,1,4b5d54,speed,3.6,true,36,3.6,true,0.0,0.1,0.0,true
10,1,4b5d54,heading,275.62,true,27562,275.62,true,0.0,0.01,0.0,true
10,1,4b5d54,vertical_rate,,false,0,,false,,,,true
10,1,4b5d54,callsign,GALA6,true,GALA6,GALA6,true,,exact,,true
11,1,4b5d6e,lat,47.4409,true,3202604,47.44088588735721,true,1.4112642787722507e-05,4.2915354470099084e-05,0.3288483332359604,true
11,1,4b5d6e,lon,8.5619,true,2196905,8.561913624266055,true,1.36242660548902e-05,8.583070894019817e-05,0.15873416663006704,true
11,1,4b5d6e,altitude,,false,0,,false,,,,true
11,1,4b5d6e,speed,2.83,true,28,2.8000000000000003,true,0.029999999999999805,0.1,0.29999999999999805,true
11,1,4b5d6e,heading,22.5,true,2250,22.5,true,0.0,0.01,0.0,true
11,1,4b5d6e,vertical_rate,,false,0,,false,,,,true
11,1,4b5d6e,callsign,VIKTOR31,true,VIKTOR31,VIKTOR31,true,,exact,,true
12,1,4b5c39,lat,47.458,true,3203003,47.45800911379078,true,9.113790781611897e-06,4.2915354470099084e-05,0.2123666667593729,true
12,1,4b5c39,lon,8.5506,true,2196773,8.550583970685949,true,1.602931405031427e-05,8.583070894019817e-05,0.18675500002548692,true
12,1,4b5c39,altitude,,false,0,,false,,,,true
12,1,4b5c39,speed,4.63,true,46,4.6000000000000005,true,0.02999999999999936,0.1,0.2999999999999936,true
12,1,4b5c39,heading,278.44,true,27844,278.44,true,0.0,0.01,0.0,true
12,1,4b5c39,vertical_rate,,false,0,,false,,,,true
12,1,4b5c39,callsign,GALA21,true,GALA21,GALA21,true,,exact,,true
13,1,4b5c1b,lat,47.4568,true,3202975,47.45680748386562,true,7.483865616109142e-06,4.2915354470099084e-05,0.1743866666957968,true
13,1,4b5c1b,lon,8.5628,true,2196915,8.562771931355456,true,2.8068644542855736e-05,8.583070894019817e-05,0.32702333336675954,true
13,1,4b5c1b,altitude,,false,0,,false,,,,true
13,1,4b5c1b,speed,0.26,true,3,0.30000000000000004,true,0.040000000000000036,0.1,0.40000000000000036,true
13,1,4b5c1b,heading,300.94,true,30094,300.94,true,0.0,0.01,0.0,true
13,1,4b5c1b,vertical_rate,,false,0,,false,,,,true
13,1,4b5c1b,callsign,URSULA8,true,URSULA8,URSULA8,true,,exact,,true
14,1,48ea3a,lat,47.9068,true,3213461,47.90681789083908,true,1.7890839082213006e-05,4.2915354470099084e-05,0.41688666686135145,true
14,1,48ea3a,lon,8.0877,true,2191380,8.087698957371487,true,1.0426285133036117e-06,8.583070894019817e-05,0.01214749972565244,true
14,1,48ea3a,altitude,10972.8,true,11973,10973,true,0.2000000000007276,1.0,0.2000000000007276,true
14,1,48ea3a,speed,229.54,true,2295,229.5,true,0.03999999999999204,0.1,0.3999999999999204,true
14,1,48ea3a,heading,225.45,true,22545,225.45000000000002,true,2.842170943040401e-14,0.01,2.8421709430404007e-12,true
14,1,48ea3a,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
14,1,48ea3a,callsign,ENT1511,true,ENT1511,ENT1511,true,,exact,,true
15,1,424cbf,lat,46.8991,true,3189979,46.89907953717221,true,2.046282778422892e-05,4.2915354470099084e-05,0.47681833313263733,true
15,1,424cbf,lon,11.2504,true,2228228,11.250388920399871,true,1.1079600129804135e-05,8.583070894019817e-05,0.12908666684232742,true
15,1,424cbf,altitude,9883.14,true,10883,9883,true,0.13999999999941792,1.0,0.13999999999941792,true
15,1,424cbf,speed,244.26,true,2443,244.3,true,0.040000000000020464,0.1,0.40000000000020464,true
15,1,424cbf,heading,222.87,true,22287,222.87,true,0.0,0.01,0.0,true
15,1,424cbf,vertical_rate,-8.13,true,31955,-8.129999999999995,true,5.329070518200751e-15,0.01,5.329070518200751e-13,true
15,1,424cbf,callsign,MACOR,true,MACOR,MACOR,true,,exact,,true
16,1,a61c53,lat,49.3817,true,3247828,49.38168987791295,true,1.0122087054753592e-05,4.2915354470099084e-05,0.23586166722230087,true
16,1,a61c53,lon,10.8344,true,2223381,10.834367474166726,true,3.252583327473246e-05,8.583070894019817e-05,0.3789533335603061,true
16,1,a61c53,altitude,10363.2,true,11363,10363,true,0.2000000000007276,1.0,0.2000000000007276,true
16,1,a61c53,speed,243.21,true,2432,243.20000000000002,true,0.009999999999990905,0.1,0.09999999999990905,true
16,1,a61c53,heading,288.63,true,28863,288.63,true,0.0,0.01,0.0,true
16,1,a61c53,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
16,1,a61c53,callsign,THY6091,true,THY6091,THY6091,true,,exact,,true
17,1,8966d5,lat,47.8922,true,3213120,47.892183754964776,true,1.624503522634768e-05,4.2915354470099084e-05,0.3785366665831987,true
17,1,8966d5,lon,7.5863,true,2185538,7.5862759557428205,true,2.4044257179056672e-05,8.583070894019817e-05,0.2801358333858026,true
